X Y Z
-486616.375000 -1117483.625000 251.250000
-486600.187500 -1117367.125000 254.899994
-486606.187500 -1117413.750000 254.009995
-486601.187500 -1117381.375000 254.740005
-486613.093750 -1117476.375000 251.460007
-486613.250000 -1117482.000000 251.410004
-486610.062500 -1117462.625000 251.710007
-486612.562500 -1117484.250000 251.690002
-486597.281250 -1117398.875000 254.660004
-486598.875000 -1117417.375000 254.369995
-486603.406250 -1117458.875000 252.460007
-486595.218750 -1117406.250000 254.610001
-486596.781250 -1117423.500000 254.360001
-486596.281250 -1117430.500000 254.169998
-486583.625000 -1117345.125000 257.089996
-486599.531250 -1117472.375000 252.059998
-486595.625000 -1117455.375000 253.419998
-486596.281250 -1117461.500000 252.850006
-486598.968750 -1117485.000000 252.449997
-486579.843750 -1117340.750000 256.989990
-486595.093750 -1117461.625000 252.899994
-486581.343750 -1117370.500000 256.970001
-486577.625000 -1117343.250000 256.559998
-486592.062500 -1117458.000000 253.369995
-486575.312500 -1117339.625000 255.389999
-486575.375000 -1117341.500000 255.429993
-486580.125000 -1117382.000000 256.630005
-486580.875000 -1117388.375000 255.630005
-486575.718750 -1117351.375000 256.640015
-486576.000000 -1117357.625000 256.989990
-486574.093750 -1117344.625000 255.520004
-486579.625000 -1117387.750000 256.179993
-486573.250000 -1117346.000000 255.630005
-486574.343750 -1117355.500000 256.510010
-486588.656250 -1117477.625000 252.690002
-486572.718750 -1117356.125000 255.880005
-486572.968750 -1117362.250000 256.510010
-486571.750000 -1117361.250000 255.880005
-486571.093750 -1117363.500000 255.850006
-486567.843750 -1117338.750000 256.059998
-486569.437500 -1117355.875000 255.789993
-486570.343750 -1117365.125000 255.740005
-486570.937500 -1117372.750000 256.750000
-486570.968750 -1117379.000000 256.950012
-486568.937500 -1117370.000000 255.570007
-486567.468750 -1117364.375000 255.699997
-486561.875000 -1117337.750000 256.269989
-486565.843750 -1117372.875000 255.630005
-486565.593750 -1117371.625000 255.800003
-486565.875000 -1117378.250000 255.250000
-486565.125000 -1117383.125000 255.320007
-486562.937500 -1117375.625000 255.800003
-486654.875000 -1117348.125000 251.039993
-486653.531250 -1117361.375000 252.479996
-486651.031250 -1117347.500000 251.470001
-486652.125000 -1117368.125000 252.839996
-486650.500000 -1117352.375000 252.250000
-486643.625000 -1117346.250000 252.500000
-486645.531250 -1117376.375000 253.080002
-486645.031250 -1117369.125000 253.130005
-486640.906250 -1117360.250000 253.240005
-486634.031250 -1117365.875000 253.610001
